channel_name,texts,vertex_type
moscowproc,moscowproc.yaml,channel
piterlive_vs,piterlive_vs.yaml,channel
ukr_g_m,ukr_g_m.yaml,channel
minenergo_official,minenergo_official.yaml,channel
minaevlife,minaevlife.yaml,channel
quarantinelive,quarantinelive.yaml,channel
dvinskyclub,dvinskyclub.yaml,channel
sskarnaukhov,sskarnaukhov.yaml,channel
lovedeathtransformers,lovedeathtransformers.yaml,channel
sokolovmitrich,sokolovmitrich.yaml,channel
mlart,mlart.yaml,channel
odsd_dnr,odsd_dnr.yaml,channel
zakuliska,zakuliska.yaml,channel
minzdravru,minzdravru.yaml,channel
mephi_life,mephi_life.yaml,channel
a000mp97,a000mp97.yaml,channel
moldovaelections,moldovaelections.yaml,channel
reactiv_dnr,reactiv_dnr.yaml,channel
alexnovak21,alexnovak21.yaml,channel
vorobiev_live,vorobiev_live.yaml,channel
miroshnik_r,miroshnik_r.yaml,channel
sciensday,sciensday.yaml,channel
proeconomics,proeconomics.yaml,channel
kirasazonova,kirasazonova.yaml,channel
up74ru,up74ru.yaml,channel
alter_vij,alter_vij.yaml,channel
mediavoyni,mediavoyni.yaml,channel
rostourism_official,rostourism_official.yaml,channel
nkamnev,nkamnev.yaml,channel
vzglyad_ru,vzglyad_ru.yaml,channel
real_cultras,real_cultras.yaml,channel
kornilov1968,kornilov1968.yaml,channel
oprmgupp,oprmgupp.yaml,channel
znak_ekb,znak_ekb.yaml,channel
kpotupchik,kpotupchik.yaml,channel
truevgen,truevgen.yaml,channel
scienceandlife,scienceandlife.yaml,channel
rasstrelny,rasstrelny.yaml,channel
cbrstocks,cbrstocks.yaml,channel
ntvnews,ntvnews.yaml,channel
nationalprojectsru,nationalprojectsru.yaml,channel
pervoeonline,pervoeonline.yaml,channel
zametkivolanda,zametkivolanda.yaml,channel
ontnews,ontnews.yaml,channel
clashof_thetitans,clashof_thetitans.yaml,channel
hse_official,hse_official.yaml,channel
oilfly,oilfly.yaml,channel
hsealumnichannel,hsealumnichannel.yaml,channel
a_vyshinskiy,a_vyshinskiy.yaml,channel
neimarkitlektoriy,neimarkitlektoriy.yaml,channel
romagolovanov,romagolovanov.yaml,channel
chesnakov,chesnakov.yaml,channel
pul_1,pul_1.yaml,channel
sakhalink,sakhalink.yaml,channel
rus_demiurge,rus_demiurge.yaml,channel
pridybaylo,pridybaylo.yaml,channel
